Dùng engine: mlx  |  model: mlx-community/whisper-large-v3-mlx
== b1-1: đang nhận dạng…
Args: {'audio': ['01_raw/b1-1/audio.m4a'], 'model': 'mlx-community/whisper-large-v3-mlx', 'output_name': 'transcript', 'output_dir': '01_raw/b1-1', 'output_format': 'srt', 'verbose': True, 'task': 'transcribe', 'language': 'vi', 'temperature': 0, 'best_of': 5, 'patience': None, 'length_penalty': None, 'suppress_tokens': '-1', 'initial_prompt': 'Bài giảng môn Software Engineering SWE202c. Các thuật ngữ hay gặp: use case diagram, use case description, actor, precondition, postcondition, main flow, alternative flow, exception flow, class diagram, attribute, method, association, aggregation, composition, inheritance, multiplicity, sequence diagram, activity diagram, state diagram, entity, boundary, controller, requirement, functional requirement, non-functional requirement, test case, test data, expected result, boundary value analysis, equivalence partitioning, black box testing, white box testing, unit test, SRS, UML, extend, include, generalization.', 'condition_on_previous_text': True, 'fp16': True, 'compression_ratio_threshold': 2.4, 'logprob_threshold': -1.0, 'no_speech_threshold': 0.6, 'word_timestamps': False, 'prepend_punctuations': '"\'“¿([{-', 'append_punctuations': '"\'.。,，!！?？:：”)]}、', 'highlight_words': False, 'max_line_width': None, 'max_line_count': None, 'max_words_per_line': None, 'hallucination_silence_threshold': None, 'clip_timestamps': '0'}
Fetching 4 files:   0%|          | 0/4 [00:00<?, ?it/s]Fetching 4 files: 100%|██████████| 4/4 [00:00<00:00, 2699.04it/s]
[00:00.000 --> 00:06.800]  Ok, hello anh em nhé. Trong video này mình sẽ hướng dẫn anh em làm một câu mà chắc chắn 100% có trong đề anh em nhé.
[00:07.300 --> 00:11.700]  Bởi vì là trong bóc đầu tiên của anh em sẽ chắc chắn có câu này, đó là câu viết from AI anh em nhé.
[00:12.180 --> 00:14.140]  Ok, thì câu này nó không được nhiều điểm đâu anh em ạ.
[00:14.700 --> 00:18.980]  Làm cả bài này, hai kịch bản mà được có một điểm.
[00:19.260 --> 00:24.180]  Cái này thì thực ra cũng chưa chắc anh em nhé, bởi vì trong đề thi có 5 câu thôi, nhưng mà trong đề thi thử là có 7 câu.
[00:24.180 --> 00:31.560]  Mà ở đây thì nó cho rất là nhiều ý, mình nghĩ là đề thi nó sẽ không cho khó đến mức là cho nhiều cho dài gì đâu anh em nhé.
[00:32.020 --> 00:38.100]  Cho nên là anh em nói chung là anh em cứ luyện là anh em làm hết, bởi vì mình thấy là cả hai cái kịch bản này nó xem xem nhau chẳng có gì cả.
[00:38.640 --> 00:41.860]  Mình nghĩ là đề thi thử ở đây mục đích là trường muốn cho anh em luyện tập thôi.
[00:42.600 --> 00:45.920]  Đề thi thì anh em nói chung là sẽ được ngon thôi.
[00:46.260 --> 00:49.280]  Ok, thì bây giờ nhé, mình sẽ hướng dẫn anh em làm câu này.
[00:49.280 --> 00:52.200]  Câu này là câu dễ, mình nghĩ là câu dễ nhất đề và anh em có thể làm được tất.
[00:52.700 --> 00:53.120]  Đấy chứ anh em.
[00:53.560 --> 00:53.760]  Đó.
[00:53.760 --> 00:54.340]  Đó, ok.
[00:54.720 --> 00:58.480]  Thì vì là 4 điểm mới qua PE cho nên mình sẽ hướng dẫn anh em làm làm sao để ăn điểm tối đa nhé.
